序号	ID	['出租', '景点', '酒店', '餐馆', '地铁']
1	51	[0, 1, 0, 0, 0]
2	52	[0, 0, 0, 0, 0]
3	53	[0, 0, 1, 0, 0]
4	54	[0, 1, 0, 1, 0]
5	55	[0, 0, 0, 1, 0]
6	56	[0, 1, 1, 0, 0]
7	57	[0, 0, 1, 0, 0]
8	58	[0, 0, 1, 0, 0]
9	59	[0, 0, 1, 0, 0]
10	60	[0, 0, 1, 1, 0]
11	61	[0, 1, 1, 1, 0]
12	62	[0, 0, 1, 0, 0]
13	63	[0, 0, 1, 0, 0]
14	64	[0, 0, 1, 1, 0]
15	65	[0, 0, 1, 1, 0]
16	66	[0, 0, 1, 0, 0]
17	67	[0, 0, 1, 0, 0]
18	68	[0, 1, 0, 0, 0]
19	69	[0, 1, 0, 0, 0]
20	70	[0, 1, 0, 0, 0]
21	71	[0, 1, 0, 0, 0]
22	72	[0, 1, 0, 0, 0]
23	73	[0, 1, 0, 0, 0]
24	74	[0, 1, 0, 0, 0]
25	75	[0, 1, 0, 0, 0]
26	76	[0, 1, 0, 0, 0]
27	77	[0, 1, 0, 0, 0]
28	78	[0, 1, 0, 0, 0]
29	79	[0, 1, 0, 0, 0]
30	80	[0, 1, 1, 0, 0]
31	81	[0, 1, 1, 0, 0]
32	82	[0, 1, 1, 0, 0]
33	83	[0, 1, 1, 0, 0]
34	84	[0, 1, 1, 0, 0]
35	85	[0, 1, 1, 0, 0]
36	86	[0, 1, 1, 0, 0]
37	87	[0, 1, 1, 0, 0]
38	88	[0, 1, 1, 0, 0]
39	89	[0, 1, 1, 0, 0]
40	90	[0, 1, 1, 0, 0]
41	91	[0, 1, 1, 0, 0]
42	92	[0, 1, 1, 0, 0]
43	93	[0, 1, 1, 0, 0]
44	94	[0, 1, 1, 0, 0]
45	95	[0, 1, 1, 0, 0]
46	96	[0, 1, 1, 0, 0]
47	97	[0, 1, 1, 0, 0]
48	98	[0, 1, 1, 0, 0]
49	99	[0, 1, 1, 0, 0]
50	100	[0, 1, 1, 0, 0]
51	101	[0, 1, 1, 0, 0]
52	102	[0, 1, 1, 0, 0]
53	103	[0, 1, 1, 0, 0]
54	104	[0, 1, 1, 0, 0]
55	105	[0, 1, 1, 0, 0]
56	106	[0, 1, 1, 0, 0]
57	107	[0, 1, 1, 0, 0]
58	108	[0, 1, 1, 0, 0]
59	109	[0, 1, 1, 0, 0]
60	110	[0, 1, 1, 0, 0]
61	111	[0, 1, 1, 0, 0]
62	112	[0, 1, 1, 0, 0]
63	113	[0, 1, 1, 0, 0]
64	114	[0, 1, 1, 0, 0]
65	115	[0, 1, 1, 0, 0]
66	116	[0, 1, 1, 0, 0]
67	117	[0, 1, 1, 0, 0]
68	118	[0, 1, 1, 0, 0]
69	119	[0, 1, 1, 0, 0]
70	120	[0, 1, 1, 0, 0]
71	121	[0, 1, 1, 0, 0]
72	122	[0, 1, 1, 0, 0]
73	123	[0, 1, 1, 0, 0]
74	124	[0, 1, 1, 0, 0]
75	125	[0, 1, 1, 0, 0]
76	126	[0, 1, 1, 0, 0]
77	127	[0, 1, 1, 0, 0]
78	128	[0, 1, 1, 0, 0]
79	129	[0, 1, 1, 0, 0]
80	130	[0, 1, 1, 0, 0]
81	131	[0, 1, 1, 0, 0]
82	132	[0, 1, 1, 0, 0]
83	133	[0, 1, 1, 0, 0]
84	134	[0, 1, 1, 0, 0]
85	135	[0, 1, 1, 0, 0]
86	136	[0, 1, 1, 0, 0]
87	137	[0, 1, 1, 0, 0]
88	138	[0, 1, 1, 0, 0]
89	139	[0, 1, 1, 0, 0]
90	140	[0, 1, 1, 0, 0]
91	141	[0, 1, 1, 0, 0]
92	142	[0, 1, 1, 0, 0]
93	143	[0, 1, 1, 0, 0]
94	144	[0, 1, 1, 0, 0]
95	145	[0, 1, 1, 0, 0]
96	146	[0, 1, 1, 0, 0]
97	147	[0, 1, 1, 0, 0]
98	148	[0, 1, 1, 0, 0]
99	149	[0, 1, 1, 0, 0]
100	150	[0, 1, 1, 0, 0]
101	151	[0, 1, 1, 0, 0]
102	152	[0, 0, 1, 0, 0]
103	153	[0, 1, 1, 1, 0]
104	154	[0, 1, 1, 0, 0]
105	155	[0, 1, 1, 1, 0]
106	156	[0, 1, 1, 0, 0]
107	157	[0, 1, 1, 1, 0]
108	158	[0, 0, 1, 0, 0]
109	159	[0, 0, 1, 1, 0]
110	160	[0, 0, 1, 0, 0]
111	161	[0, 0, 1, 0, 0]
112	162	[0, 0, 1, 1, 0]
113	163	[0, 0, 1, 0, 0]
114	164	[0, 1, 1, 0, 0]
115	165	[0, 0, 1, 0, 0]
116	166	[0, 1, 1, 1, 0]
117	167	[0, 1, 1, 0, 0]
118	168	[0, 1, 1, 1, 0]
119	169	[0, 0, 1, 0, 0]
120	170	[0, 0, 1, 1, 0]
121	171	[0, 1, 1, 0, 0]
122	172	[0, 0, 1, 1, 0]
123	173	[0, 1, 1, 0, 0]
124	174	[0, 1, 1, 1, 0]
125	175	[0, 1, 1, 0, 0]
126	176	[0, 0, 1, 1, 0]
127	177	[0, 0, 1, 0, 0]
128	178	[0, 0, 1, 0, 0]
129	179	[0, 0, 1, 1, 0]
130	180	[0, 1, 1, 0, 0]
131	181	[0, 1, 1, 1, 0]
132	182	[0, 1, 1, 0, 0]
133	183	[0, 1, 1, 1, 0]
134	184	[0, 1, 1, 0, 0]
135	185	[0, 1, 1, 1, 0]
136	186	[0, 1, 1, 0, 0]
137	187	[0, 1, 1, 0, 0]
138	188	[0, 1, 1, 1, 0]
139	189	[0, 1, 1, 1, 0]
140	190	[0, 1, 1, 1, 0]
141	191	[0, 1, 1, 1, 0]
142	192	[0, 1, 1, 1, 0]
143	193	[0, 1, 1, 1, 0]
144	194	[0, 1, 1, 1, 0]
145	195	[0, 1, 1, 1, 0]
146	196	[0, 1, 1, 1, 0]
147	197	[0, 1, 1, 1, 0]
148	198	[0, 1, 1, 1, 0]
149	199	[0, 1, 1, 1, 0]
150	200	[0, 1, 1, 1, 0]
151	201	[0, 1, 1, 1, 0]
152	202	[0, 1, 1, 1, 0]
153	203	[0, 1, 1, 1, 0]
154	204	[0, 1, 1, 1, 0]
155	205	[0, 1, 1, 1, 0]
156	206	[0, 1, 1, 1, 0]
157	207	[0, 1, 1, 1, 0]
158	208	[0, 1, 1, 1, 0]
159	209	[0, 1, 1, 1, 0]
160	210	[0, 1, 1, 1, 0]
161	211	[0, 1, 1, 1, 0]
162	212	[0, 1, 1, 1, 0]
163	213	[0, 1, 1, 1, 0]
164	214	[0, 1, 1, 1, 0]
165	215	[0, 1, 1, 1, 0]
166	216	[0, 1, 1, 1, 0]
167	217	[0, 1, 1, 1, 0]
168	218	[0, 1, 1, 1, 0]
169	219	[0, 1, 1, 1, 0]
170	220	[0, 1, 1, 1, 0]
171	221	[0, 1, 1, 1, 0]
172	222	[0, 1, 1, 1, 0]
173	223	[0, 1, 1, 1, 0]
174	224	[0, 1, 1, 1, 0]
175	225	[0, 1, 1, 1, 0]
176	226	[0, 1, 1, 1, 0]
177	227	[0, 1, 1, 1, 0]
178	228	[0, 1, 1, 1, 0]
179	229	[0, 1, 1, 1, 0]
180	230	[0, 1, 1, 1, 0]
181	231	[0, 1, 1, 1, 0]
182	232	[0, 1, 1, 1, 0]
183	233	[0, 1, 1, 1, 0]
184	234	[0, 1, 1, 1, 0]
185	235	[0, 1, 1, 1, 0]
186	236	[0, 1, 1, 1, 0]
187	237	[0, 1, 1, 1, 0]
188	238	[0, 1, 1, 1, 0]
189	239	[0, 1, 1, 1, 0]
190	240	[0, 1, 1, 1, 0]
191	241	[0, 1, 1, 1, 0]
192	242	[0, 1, 1, 1, 0]
193	243	[0, 1, 1, 1, 0]
194	244	[0, 1, 1, 1, 0]
195	245	[0, 1, 1, 1, 0]
196	246	[0, 1, 1, 1, 0]
197	247	[0, 1, 1, 1, 0]
198	248	[0, 1, 0, 1, 0]
199	249	[0, 1, 0, 1, 0]
200	250	[0, 1, 0, 1, 0]
201	251	[0, 1, 0, 1, 0]
202	252	[0, 1, 0, 1, 0]
203	253	[0, 1, 0, 1, 0]
204	254	[0, 1, 0, 1, 0]
205	255	[0, 1, 0, 1, 0]
206	256	[0, 1, 0, 1, 0]
207	257	[0, 1, 0, 1, 0]
208	258	[0, 1, 0, 1, 0]
209	259	[0, 1, 0, 1, 0]
210	260	[0, 0, 1, 0, 0]
211	261	[0, 0, 1, 0, 0]
212	262	[0, 0, 1, 0, 0]
213	263	[0, 0, 1, 0, 0]
214	264	[0, 0, 1, 0, 0]
215	265	[0, 0, 1, 0, 0]
216	266	[0, 0, 1, 0, 0]
217	267	[0, 0, 1, 0, 0]
218	268	[0, 0, 1, 1, 0]
219	269	[0, 0, 1, 1, 0]
220	270	[0, 0, 1, 0, 0]
221	271	[0, 0, 1, 1, 0]
222	272	[0, 0, 1, 1, 0]
223	273	[0, 0, 1, 0, 0]
224	274	[0, 0, 1, 1, 0]
225	275	[0, 0, 1, 0, 0]
226	276	[0, 0, 1, 1, 0]
227	277	[0, 0, 1, 1, 0]
228	278	[0, 0, 1, 1, 0]
229	279	[0, 0, 1, 0, 0]
230	280	[0, 0, 1, 1, 0]
231	281	[0, 0, 1, 0, 0]
232	282	[0, 0, 1, 1, 0]
233	283	[0, 0, 1, 0, 0]
234	284	[0, 0, 1, 1, 0]
235	285	[0, 0, 1, 0, 0]
236	286	[0, 0, 0, 1, 0]
237	287	[0, 0, 1, 1, 0]
238	288	[0, 0, 1, 1, 0]
239	289	[0, 0, 1, 1, 0]
240	290	[0, 0, 1, 1, 0]
241	291	[0, 0, 1, 1, 0]
242	292	[0, 0, 1, 1, 0]
243	293	[0, 0, 1, 1, 0]
