序号	ID	['出租', '景点', '酒店', '餐馆', '地铁']
1	51	[0, 1, 0, 0, 0]
2	52	[0, 0, 0, 0, 0]
3	53	[0, 1, 0, 1, 0]
4	54	[0, 1, 1, 1, 0]
5	55	[0, 1, 1, 0, 0]
6	56	[0, 0, 1, 0, 0]
7	57	[0, 0, 1, 1, 0]
8	58	[0, 0, 0, 1, 0]
9	59	[0, 0, 1, 0, 0]
10	60	[0, 0, 1, 1, 0]
11	61	[0, 1, 1, 0, 0]
12	62	[0, 0, 1, 0, 0]
13	63	[0, 0, 1, 1, 0]
14	64	[0, 0, 1, 0, 0]
15	65	[0, 0, 1, 1, 0]
16	66	[0, 0, 1, 0, 0]
17	67	[0, 0, 1, 1, 0]
18	68	[0, 0, 1, 0, 0]
19	69	[0, 0, 1, 0, 0]
20	70	[0, 0, 1, 1, 0]
21	71	[0, 0, 1, 0, 0]
22	72	[0, 0, 1, 0, 0]
23	73	[0, 0, 1, 1, 0]
24	74	[0, 0, 1, 1, 0]
25	76	[0, 0, 0, 1, 0]
26	78	[0, 0, 0, 1, 0]
27	80	[0, 0, 0, 1, 0]
28	81	[0, 0, 0, 1, 0]
29	83	[0, 1, 0, 0, 0]
30	84	[0, 1, 0, 0, 0]
31	85	[0, 1, 0, 0, 0]
32	86	[0, 1, 0, 0, 0]
33	87	[0, 1, 0, 0, 0]
34	88	[0, 1, 0, 0, 0]
35	89	[0, 1, 0, 0, 0]
36	90	[0, 1, 0, 0, 0]
37	91	[0, 1, 0, 0, 0]
38	92	[0, 1, 0, 0, 0]
39	93	[0, 1, 0, 0, 0]
40	94	[0, 1, 0, 0, 0]
41	95	[0, 1, 0, 0, 0]
42	96	[0, 1, 0, 0, 0]
43	97	[0, 1, 0, 0, 0]
44	98	[0, 1, 0, 0, 0]
45	99	[0, 1, 0, 0, 0]
46	100	[0, 1, 0, 0, 0]
47	101	[0, 1, 0, 0, 0]
48	102	[0, 1, 0, 0, 0]
49	103	[0, 1, 0, 0, 0]
50	104	[0, 1, 0, 0, 0]
51	105	[0, 1, 1, 0, 0]
52	106	[0, 1, 1, 0, 0]
53	107	[0, 1, 1, 0, 0]
54	108	[0, 1, 1, 0, 0]
55	109	[0, 1, 1, 0, 0]
56	110	[0, 1, 1, 0, 0]
57	111	[0, 1, 1, 0, 0]
58	112	[0, 1, 1, 0, 0]
59	113	[0, 1, 1, 0, 0]
60	114	[0, 1, 1, 0, 0]
61	115	[0, 1, 1, 0, 0]
62	116	[0, 1, 1, 0, 0]
63	117	[0, 1, 1, 0, 0]
64	118	[0, 1, 1, 0, 0]
65	119	[0, 1, 1, 0, 0]
66	120	[0, 1, 1, 0, 0]
67	121	[0, 1, 1, 0, 0]
68	122	[0, 1, 1, 0, 0]
69	123	[0, 1, 1, 0, 0]
70	124	[0, 1, 1, 0, 0]
71	125	[0, 1, 1, 0, 0]
72	126	[0, 1, 1, 0, 0]
73	127	[0, 1, 1, 0, 0]
74	128	[0, 1, 1, 0, 0]
75	129	[0, 1, 1, 0, 0]
76	130	[0, 1, 1, 0, 0]
77	131	[0, 1, 1, 0, 0]
78	132	[0, 1, 1, 0, 0]
79	133	[0, 1, 1, 0, 0]
80	134	[0, 1, 1, 0, 0]
81	135	[0, 1, 1, 0, 0]
82	136	[0, 1, 1, 0, 0]
83	137	[0, 1, 1, 0, 0]
84	138	[0, 1, 1, 0, 0]
85	139	[0, 1, 1, 0, 0]
86	140	[0, 1, 1, 0, 0]
87	141	[0, 1, 1, 0, 0]
88	142	[0, 1, 1, 0, 0]
89	143	[0, 1, 1, 0, 0]
90	144	[0, 1, 1, 0, 0]
91	145	[0, 1, 1, 0, 0]
92	146	[0, 1, 1, 0, 0]
93	147	[0, 1, 1, 0, 0]
94	148	[0, 1, 1, 0, 0]
95	149	[0, 1, 1, 0, 0]
96	150	[0, 1, 1, 0, 0]
97	151	[0, 1, 1, 0, 0]
98	152	[0, 1, 1, 0, 0]
99	153	[0, 1, 1, 0, 0]
100	154	[0, 1, 1, 0, 0]
101	155	[0, 1, 1, 0, 0]
102	156	[0, 1, 1, 0, 0]
103	157	[0, 1, 1, 0, 0]
104	158	[0, 1, 1, 0, 0]
105	159	[0, 1, 1, 0, 0]
106	160	[0, 1, 1, 0, 0]
107	161	[0, 1, 1, 0, 0]
108	162	[0, 1, 1, 0, 0]
109	163	[0, 1, 1, 0, 0]
110	164	[0, 1, 1, 0, 0]
111	165	[0, 1, 1, 0, 0]
112	166	[0, 1, 1, 0, 0]
113	167	[0, 1, 1, 0, 0]
114	168	[0, 1, 1, 0, 0]
115	169	[0, 1, 1, 0, 0]
116	170	[0, 1, 1, 0, 0]
117	171	[0, 1, 1, 0, 0]
118	172	[0, 1, 1, 0, 0]
119	173	[0, 1, 1, 0, 0]
120	174	[0, 1, 1, 0, 0]
121	175	[0, 1, 1, 0, 0]
122	176	[0, 1, 1, 0, 0]
123	177	[0, 1, 1, 0, 0]
124	178	[0, 1, 1, 0, 0]
125	179	[0, 1, 1, 0, 0]
126	180	[0, 1, 1, 0, 0]
127	181	[0, 1, 1, 0, 0]
128	182	[0, 1, 1, 0, 0]
129	183	[0, 1, 1, 0, 0]
130	184	[0, 1, 1, 0, 0]
131	185	[0, 1, 1, 0, 0]
132	186	[0, 1, 1, 0, 0]
133	187	[0, 1, 1, 0, 0]
134	188	[0, 1, 1, 0, 0]
135	189	[0, 1, 1, 0, 0]
136	190	[0, 1, 1, 0, 0]
137	191	[0, 1, 1, 0, 0]
138	192	[0, 1, 1, 0, 0]
139	193	[0, 1, 1, 0, 0]
140	194	[0, 1, 1, 0, 0]
141	195	[0, 1, 1, 0, 0]
142	196	[0, 1, 1, 0, 0]
143	197	[0, 1, 1, 0, 0]
144	198	[0, 1, 1, 0, 0]
145	199	[0, 1, 1, 0, 0]
146	200	[0, 1, 1, 0, 0]
147	201	[0, 1, 1, 0, 0]
148	202	[0, 1, 1, 0, 0]
149	203	[0, 1, 1, 0, 0]
150	204	[0, 1, 1, 0, 0]
151	205	[0, 1, 1, 0, 0]
152	206	[0, 1, 1, 0, 0]
153	207	[0, 1, 1, 0, 0]
154	208	[0, 1, 1, 0, 0]
155	209	[0, 1, 1, 0, 0]
156	210	[0, 1, 1, 0, 0]
157	211	[0, 1, 1, 0, 0]
158	212	[0, 1, 1, 0, 0]
159	213	[0, 1, 1, 0, 0]
160	214	[0, 1, 1, 0, 0]
161	215	[0, 1, 1, 0, 0]
162	216	[0, 1, 1, 0, 0]
163	217	[0, 1, 1, 0, 0]
164	218	[0, 1, 1, 0, 0]
165	219	[0, 1, 1, 0, 0]
166	220	[0, 1, 1, 0, 0]
167	221	[0, 1, 1, 0, 0]
168	222	[0, 1, 1, 0, 0]
169	223	[0, 1, 1, 0, 0]
170	224	[0, 1, 1, 0, 0]
171	225	[0, 1, 1, 0, 0]
172	226	[0, 1, 1, 0, 0]
173	227	[0, 1, 1, 0, 0]
174	228	[0, 1, 1, 0, 0]
175	229	[0, 1, 1, 0, 0]
176	230	[0, 1, 1, 0, 0]
177	231	[0, 1, 1, 0, 0]
178	232	[0, 1, 1, 0, 0]
179	233	[0, 1, 1, 0, 0]
180	234	[0, 1, 1, 0, 0]
181	235	[0, 1, 1, 0, 0]
182	236	[0, 1, 1, 0, 0]
183	237	[0, 1, 1, 0, 0]
184	238	[0, 1, 1, 0, 0]
185	239	[0, 1, 1, 0, 0]
186	240	[0, 1, 1, 0, 0]
187	241	[0, 1, 1, 0, 0]
188	242	[0, 1, 1, 0, 0]
189	243	[0, 1, 1, 0, 0]
190	244	[0, 1, 1, 0, 0]
191	245	[0, 1, 1, 0, 0]
192	246	[0, 1, 1, 0, 0]
193	247	[0, 1, 1, 0, 0]
194	248	[0, 1, 1, 0, 0]
195	249	[0, 1, 1, 0, 0]
196	250	[0, 1, 1, 0, 0]
197	251	[0, 1, 1, 0, 0]
198	252	[0, 1, 1, 0, 0]
199	253	[0, 1, 1, 0, 0]
200	254	[0, 1, 1, 0, 0]
201	255	[0, 1, 1, 0, 0]
202	256	[0, 1, 1, 0, 0]
203	257	[0, 1, 1, 0, 0]
204	258	[0, 1, 1, 0, 0]
205	259	[0, 1, 1, 0, 0]
206	260	[0, 1, 1, 0, 0]
207	261	[0, 1, 1, 0, 0]
208	262	[0, 1, 1, 0, 0]
209	263	[0, 1, 1, 0, 0]
210	264	[0, 1, 1, 0, 0]
211	265	[0, 1, 1, 0, 0]
212	266	[0, 1, 1, 0, 0]
213	267	[0, 1, 1, 0, 0]
214	268	[0, 1, 1, 0, 0]
215	269	[0, 1, 1, 0, 0]
216	270	[0, 1, 1, 0, 0]
217	271	[0, 1, 1, 0, 0]
218	272	[0, 1, 1, 0, 0]
219	273	[0, 1, 1, 0, 0]
220	274	[0, 1, 1, 0, 0]
221	275	[0, 1, 1, 0, 0]
222	276	[0, 1, 1, 0, 0]
223	277	[0, 1, 1, 0, 0]
224	278	[0, 1, 1, 0, 0]
225	279	[0, 1, 1, 0, 0]
226	280	[0, 1, 1, 0, 0]
227	281	[0, 1, 1, 0, 0]
228	282	[0, 1, 1, 0, 0]
229	283	[0, 1, 1, 0, 0]
230	284	[0, 1, 1, 0, 0]
231	285	[0, 1, 1, 0, 0]
232	286	[0, 1, 1, 0, 0]
233	287	[0, 1, 1, 0, 0]
234	288	[0, 1, 1, 0, 0]
235	289	[0, 1, 1, 0, 0]
236	290	[0, 1, 1, 0, 0]
237	291	[0, 1, 1, 0, 0]
238	292	[0, 1, 1, 0, 0]
239	293	[0, 1, 1, 0, 0]
240	294	[0, 1, 1, 0, 0]
241	295	[0, 1, 1, 0, 0]
242	296	[0, 1, 1, 0, 0]
243	297	[0, 1, 1, 0, 0]
244	298	[0, 1, 1, 0, 0]
245	299	[0, 1, 1, 0, 0]
246	300	[0, 1, 1, 0, 0]
247	301	[0, 1, 1, 0, 0]
248	302	[0, 1, 1, 0, 0]
249	303	[0, 1, 1, 0, 0]
250	304	[0, 0, 1, 0, 0]
251	305	[0, 1, 1, 1, 0]
252	306	[0, 1, 1, 0, 0]
253	307	[0, 1, 1, 1, 0]
254	308	[0, 1, 1, 0, 0]
255	309	[0, 0, 1, 0, 0]
256	310	[0, 1, 1, 1, 0]
257	311	[0, 0, 1, 0, 0]
258	312	[0, 0, 1, 1, 0]
259	313	[0, 0, 1, 0, 0]
260	314	[0, 0, 1, 1, 0]
261	315	[0, 1, 1, 0, 0]
262	316	[0, 1, 1, 1, 0]
263	317	[0, 0, 1, 0, 0]
264	318	[0, 1, 1, 0, 0]
265	319	[0, 0, 1, 0, 0]
266	320	[0, 1, 1, 1, 0]
267	321	[0, 1, 1, 0, 0]
268	322	[0, 1, 1, 1, 0]
269	323	[0, 1, 1, 0, 0]
270	324	[0, 1, 1, 1, 0]
271	325	[0, 0, 1, 1, 0]
272	326	[0, 1, 1, 0, 0]
273	327	[0, 1, 1, 1, 0]
274	328	[0, 1, 1, 0, 0]
275	329	[0, 1, 1, 1, 0]
276	330	[0, 0, 1, 0, 0]
277	331	[0, 0, 1, 1, 0]
278	332	[0, 1, 1, 0, 0]
279	333	[0, 1, 1, 1, 0]
280	334	[0, 1, 1, 0, 0]
281	335	[0, 1, 1, 1, 0]
282	336	[0, 1, 1, 0, 0]
283	337	[0, 1, 1, 1, 0]
284	338	[0, 1, 1, 0, 0]
285	339	[0, 1, 1, 1, 0]
286	340	[0, 1, 1, 0, 0]
287	341	[0, 1, 1, 0, 0]
288	342	[0, 1, 1, 1, 0]
289	343	[0, 1, 1, 0, 0]
290	344	[0, 1, 1, 0, 0]
291	345	[0, 1, 1, 1, 0]
292	346	[0, 1, 1, 1, 0]
293	347	[0, 1, 1, 1, 0]
294	348	[0, 1, 1, 1, 0]
295	349	[0, 1, 1, 1, 0]
296	350	[0, 1, 1, 1, 0]
297	351	[0, 1, 1, 1, 0]
