序号	ID	['出租', '景点', '酒店', '餐馆', '地铁']
1	51	[0, 0, 0, 0, 0]
2	52	[0, 0, 1, 0, 0]
3	53	[0, 0, 0, 1, 0]
4	54	[0, 1, 0, 0, 0]
5	55	[0, 1, 1, 0, 0]
6	56	[0, 0, 1, 0, 0]
7	57	[0, 0, 1, 0, 0]
8	58	[0, 0, 1, 0, 0]
9	59	[0, 1, 1, 1, 0]
10	60	[0, 1, 0, 1, 0]
11	61	[0, 0, 1, 0, 0]
12	62	[0, 0, 1, 0, 0]
13	63	[0, 0, 1, 1, 0]
14	64	[0, 0, 1, 0, 0]
15	65	[0, 1, 0, 0, 0]
16	66	[0, 1, 0, 0, 0]
17	67	[0, 1, 0, 0, 0]
18	68	[0, 1, 0, 0, 0]
19	69	[0, 1, 0, 0, 0]
20	70	[0, 1, 0, 0, 0]
21	71	[0, 1, 0, 0, 0]
22	72	[0, 1, 0, 0, 0]
23	73	[0, 1, 0, 0, 0]
24	74	[0, 1, 1, 0, 0]
25	75	[0, 1, 1, 0, 0]
26	76	[0, 1, 1, 0, 0]
27	77	[0, 1, 1, 0, 0]
28	78	[0, 1, 1, 0, 0]
29	79	[0, 1, 1, 0, 0]
30	80	[0, 1, 1, 0, 0]
31	81	[0, 1, 1, 0, 0]
32	82	[0, 1, 1, 0, 0]
33	83	[0, 1, 1, 0, 0]
34	84	[0, 1, 1, 0, 0]
35	85	[0, 1, 1, 0, 0]
36	86	[0, 1, 1, 0, 0]
37	87	[0, 1, 1, 0, 0]
38	88	[0, 1, 1, 0, 0]
39	89	[0, 1, 1, 0, 0]
40	90	[0, 1, 1, 1, 0]
41	91	[0, 0, 1, 0, 0]
42	92	[0, 0, 1, 1, 0]
43	93	[0, 0, 1, 0, 0]
44	94	[0, 0, 1, 1, 0]
45	95	[0, 0, 1, 0, 0]
46	96	[0, 0, 1, 1, 0]
47	97	[0, 0, 1, 0, 0]
48	98	[0, 0, 1, 0, 0]
49	99	[0, 0, 1, 1, 0]
50	100	[0, 1, 1, 0, 0]
51	101	[0, 1, 1, 1, 0]
52	102	[0, 0, 1, 0, 0]
53	103	[0, 0, 1, 1, 0]
54	104	[0, 0, 1, 0, 0]
55	105	[0, 0, 1, 1, 0]
56	106	[0, 0, 1, 1, 0]
57	107	[0, 1, 1, 0, 0]
58	108	[0, 1, 1, 1, 0]
59	109	[0, 1, 1, 0, 0]
60	110	[0, 0, 1, 1, 0]
61	111	[0, 0, 1, 0, 0]
62	112	[0, 0, 1, 0, 0]
63	113	[0, 1, 1, 0, 0]
64	114	[0, 1, 1, 1, 0]
65	115	[0, 0, 1, 0, 0]
66	116	[0, 0, 1, 1, 0]
67	117	[0, 1, 1, 0, 0]
68	118	[0, 1, 1, 1, 0]
69	119	[0, 0, 1, 1, 0]
70	120	[0, 0, 1, 1, 0]
71	121	[0, 1, 1, 1, 0]
72	122	[0, 1, 1, 1, 0]
73	123	[0, 1, 1, 1, 0]
74	124	[0, 1, 1, 1, 0]
75	125	[0, 1, 1, 1, 0]
76	126	[0, 1, 1, 1, 0]
77	127	[0, 1, 1, 1, 0]
78	128	[0, 1, 1, 1, 0]
79	129	[0, 1, 1, 1, 0]
80	130	[0, 1, 1, 1, 0]
81	131	[0, 1, 1, 1, 0]
82	132	[0, 1, 0, 1, 0]
83	133	[0, 1, 0, 1, 0]
84	134	[0, 1, 0, 1, 0]
85	135	[0, 1, 0, 1, 0]
86	136	[0, 1, 0, 1, 0]
87	137	[0, 1, 0, 1, 0]
88	138	[0, 1, 0, 1, 0]
89	139	[0, 0, 1, 0, 0]
90	140	[0, 0, 1, 0, 0]
91	141	[0, 0, 1, 1, 0]
92	142	[0, 0, 1, 1, 0]
93	143	[0, 0, 1, 0, 0]
94	144	[0, 0, 1, 1, 0]
95	145	[0, 0, 1, 1, 0]
96	146	[0, 0, 1, 0, 0]
97	147	[0, 0, 1, 1, 0]
98	148	[0, 0, 1, 0, 0]
99	149	[0, 0, 1, 1, 0]
100	150	[0, 0, 1, 0, 0]
101	151	[0, 0, 1, 1, 0]
